,RegionName,LatLong
0,United States,"[39.7837304, -100.4458825]"
1,"New York, NY","[40.7127281, -74.0060152]"
2,"Los Angeles-Long Beach-Anaheim, CA","[34.047863, -118.245353]"
3,"Chicago, IL","[41.8755616, -87.6244212]"
4,"Dallas-Fort Worth, TX","[32.7481, -97.3068915]"
5,"Philadelphia, PA","[39.9527237, -75.1635262]"
6,"Houston, TX","[29.7589382, -95.3676974]"
7,"Washington, DC","[38.8950368, -77.0365427]"
8,"Miami-Fort Lauderdale, FL","[26.0917308, -80.1359398]"
9,"Atlanta, GA","[33.7489924, -84.3902644]"
10,"Boston, MA","[42.3602534, -71.0582912]"
11,"San Francisco, CA","[37.7790262, -122.419906]"
12,"Detroit, MI","[42.3315509, -83.0466403]"
13,"Riverside, CA","[33.9533546, -117.3961623]"
14,"Phoenix, AZ","[33.4484367, -112.0741417]"
15,"Seattle, WA","[47.6038321, -122.3300624]"
16,"Minneapolis-St Paul, MN","[44.9227049, -93.0554922]"
17,"San Diego, CA","[32.7174202, -117.1627728]"
18,"St. Louis, MO","[38.6264256, -90.1995853]"
19,"Tampa, FL","[27.9477595, -82.458444]"
20,"Baltimore, MD","[39.2908816, -76.610759]"
21,"Denver, CO","[39.7392364, -104.9848623]"
22,"Pittsburgh, PA","[40.4416941, -79.9900861]"
23,"Portland, OR","[45.5202471, -122.6741949]"
24,"Charlotte, NC","[35.2272086, -80.8430827]"
25,"Sacramento, CA","[38.5810606, -121.493895]"
26,"San Antonio, TX","[29.4246002, -98.4951405]"
27,"Orlando, FL","[28.5421109, -81.3790304]"
28,"Cincinnati, OH","[39.1014537, -84.5124602]"
29,"Cleveland, OH","[41.5051613, -81.6934446]"
30,"Kansas City, MO","[39.100105, -94.5781416]"
31,"Las Vegas, NV","[36.1672559, -115.148516]"
32,"Columbus, OH","[39.9622601, -83.0007065]"
33,"Indianapolis, IN","[39.7683331, -86.1583502]"
34,"San Jose, CA","[37.3361905, -121.890583]"
35,"Austin, TX","[30.2711286, -97.7436995]"
36,"Virginia Beach, VA","[36.8529841, -75.9774183]"
37,"Nashville, TN","[36.1622767, -86.7742984]"
38,"Providence, RI","[41.8239891, -71.4128343]"
39,"Milwaukee, WI","[43.0349931, -87.922497]"
40,"Jacksonville, FL","[30.3321838, -81.655651]"
41,"Memphis, TN","[35.1490215, -90.0516285]"
42,"Oklahoma City, OK","[35.4729886, -97.5170536]"
43,"Louisville-Jefferson County, KY","[38.209237, -85.7038502]"
44,"Hartford, CT","[41.7655582, -72.6906128]"
45,"Richmond, VA","[37.5385087, -77.43428]"
46,"New Orleans, LA","[29.9499323, -90.0701156]"
47,"Buffalo, NY","[42.8867166, -78.8783922]"
48,"Raleigh, NC","[35.7803977, -78.6390989]"
49,"Birmingham, AL","[33.5206824, -86.8024326]"
50,"Salt Lake City, UT","[40.7596198, -111.8867975]"
51,"Rochester, NY","[43.157285, -77.615214]"
52,"Grand Rapids, MI","[42.9632405, -85.6678639]"
53,"Tucson, AZ","[32.2228765, -110.9748477]"
54,"Tulsa, OK","[36.1556805, -95.9929113]"
55,"Fresno, CA","[36.7295295, -119.7088613]"
56,"Worcester, MA","[42.2625621, -71.8018877]"
57,"Stamford, CT","[41.072089, -73.5444361]"
58,"Albuquerque, NM","[35.0841034, -106.650985]"
59,"Albany, NY","[42.6511674, -73.754968]"
60,"Omaha, NE","[41.2587459, -95.9383758]"
61,"New Haven, CT","[41.2985504, -72.9310474]"
62,"Bakersfield, CA","[35.3738712, -119.0194639]"
63,"Knoxville, TN","[35.9603948, -83.9210261]"
64,"Greenville, SC","[34.851354, -82.3984882]"
65,"Ventura, CA","[34.4458248, -119.0779359]"
66,"Allentown, PA","[40.6022059, -75.4712794]"
67,"El Paso, TX","[31.7754152, -106.464634]"
68,"Baton Rouge, LA","[30.4459596, -91.18738]"
69,"Dayton, OH","[39.7589478, -84.1916069]"
70,"McAllen, TX","[26.2043691, -98.230082]"
71,"Columbia, SC","[34.0007493, -81.0343313]"
72,"Greensboro, NC","[36.0726355, -79.7919754]"
73,"Akron, OH","[41.083064, -81.518485]"
74,"North Port-Sarasota-Bradenton, FL","[27.074755, -82.175602]"
75,"Little Rock, AR","[34.7464809, -92.2895948]"
76,"Stockton, CA","[37.9577016, -121.2907796]"
77,"Charleston, SC","[32.7876012, -79.9402728]"
78,"Syracuse, NY","[43.0481221, -76.1474244]"
79,"Colorado Springs, CO","[38.8339578, -104.8253485]"
80,"Winston-Salem, NC","[36.0998131, -80.2440518]"
81,"Wichita, KS","[37.6922361, -97.3375448]"
82,"Springfield, MA","[42.1018764, -72.5886727]"
83,"Fort Myers, FL","[26.640628, -81.8723084]"
84,"Boise City, ID","[43.6166163, -116.200886]"
85,"Toledo, OH","[41.6529143, -83.5378173]"
86,"Madison, WI","[43.074761, -89.3837613]"
87,"Lakeland, FL","[28.0394654, -81.9498042]"
88,"Ogden, UT","[41.2230048, -111.9738429]"
89,"Daytona Beach, FL","[29.2108147, -81.0228331]"
90,"Des Moines, IA","[41.5910323, -93.6046655]"
91,"Jackson, MS","[32.2990021, -90.1847691]"
92,"Augusta, GA","[33.4709714, -81.9748429]"
93,"Harrisburg, PA","[40.2663107, -76.8861122]"
94,"Provo, UT","[40.2338438, -111.6585337]"
95,"Fort Collins, CO","[40.5508527, -105.0668085]"
