State,Actual,11-19 Growth,96-04 Growth,11-19 Difference,96-04 Difference
Idaho,403291,269720.7773,189292.8108,133570.2227,213998.1892
Utah,465012,354509.9873,260412.3041,110502.0127,204599.6959
Washington,519552,415931.4529,374912.9802,103620.5471,144639.0198
New Jersey,408517,326171.5532,544220.9977,82345.44681,-135703.9977
Rhode Island,372809,294547.3353,466924.6814,78261.66474,-94115.68144
New Hampshire,366129,289672.9438,490309.6447,76456.05618,-124180.6447
Massachusetts,518203,441888.5584,751616.7029,76314.4416,-233413.7029
Arizona,355540,279673.766,289968.7846,75866.23402,65571.21541
Maine,306018,231517.8728,331616.3573,74500.12724,-25598.35728
Connecticut,318096,244744.3098,459260.7881,73351.69015,-141164.7881
Montana,359678,291308.59,,68369.40996,
New Mexico,248670,191093.1913,,57576.80865,
Oregon,447968,391045.7098,299774.4873,56922.2902,148193.5127
New York,371880,315164.99,393597.9146,56715.00995,-21717.91459
California,683996,627386.2005,710181.5064,56609.79946,-26185.50642
Colorado,490944,437205.0217,500583.6654,53738.97834,-9639.665367
North Carolina,248950,195495.5244,236004.021,53454.4756,12945.97899
Delaware,308067,255055.0092,329360.3861,53011.99075,-21293.38606
Maryland,366581,316452.9939,366126.6866,50128.00607,454.3134382
Pennsylvania,234684,186164.6976,208310.2746,48519.30239,26373.72544
Virginia,328640,281759.9844,328603.6094,46880.01557,36.39064478
Vermont,299998,253158.378,299215.1836,46839.62204,782.8163886
Tennessee,231682,185780.8923,194249.7417,45901.10769,37432.25827
Wisconsin,230733,184992.2345,245439.8648,45740.76555,-14706.86478
Nevada,368254,325250.7197,330160.8348,43003.28035,38093.16522
Georgia,245778,204659.0584,290472.6726,41118.94156,-44694.67262
South Carolina,225406,186387.687,231866.0407,39018.31302,-6460.040717
Ohio,181756,143324.263,203905.2947,38431.73701,-22149.29472
Indiana,185805,149067.3235,87044.87493,36737.67652,98760.12507
Minnesota,301576,265535.4579,433218.0272,36040.54213,-131642.0272
Missouri,194226,158729.5164,218616.2543,35496.48359,-24390.25432
Alabama,170184,137375.2841,177651.2074,32808.71595,-7467.207395
Florida,297390,266866.1205,291441.7004,30523.87949,5948.299613
Nebraska,206538,176708.7361,190676.1576,29829.26387,15861.84242
Kansas,176898,149419.9669,178303.5905,27478.03308,-1405.590455
Texas,247210,220021.4946,176924.8068,27188.50535,70285.19319
Illinois,233661,206731.7179,345834.2443,26929.28209,-112173.2443
South Dakota,242923,216025.9235,183544.9314,26897.07648,59378.06856
Michigan,208337,181715.5189,286006.2701,26621.48114,-77669.27005
Kentucky,168998,142403.5535,175836.1507,26594.44651,-6838.150683
Hawaii,730511,705974.8947,389642.8261,24536.10535,340868.1739
Arkansas,149120,128661.6524,139618.6452,20458.34763,9501.354811
Oklahoma,150754,130403.07,154342.1101,20350.92997,-3588.110113
Wyoming,273992,253978.9773,,20013.02267,
Mississippi,140818,122266.7588,145254.6342,18551.24123,-4436.63419
Louisiana,187844,174572.9954,215521.6459,13271.00456,-27677.64592
Alaska,300592,287564.1445,340952.2435,13027.85553,-40360.24347
Iowa,165955,152987.418,176230.6459,12967.58196,-10275.6459
West Virginia,117768,107897.4768,113984.8774,9870.523188,3783.122615
District of Columbia,691997,692045.6612,607909.7154,-48.66123385,84087.28465
North Dakota,246588,266530.4736,,-19942.47364,
